Label,Label2,SrcIP,SrcPort,DstIP,DstPort,Protocol,FlowDuration,TotalFwdPacket,TotalBwdpackets,TotalLengthofFwdPacket,TotalLengthofBwdPacket,FwdPacketLengthMax,FwdPacketLengthMin,BwdPacketLengthMax,BwdPacketLengthMin,FlowBytess,FlowPacketss,FlowIATMax,FlowIATMin,FwdIATTotal,FwdIATMax,FwdIATMin,BwdIATTotal,BwdIATMax,BwdIATMin,FwdPSHFlags,FwdHeaderLength,BwdHeaderLength,FwdPacketss,BwdPacketss,PacketLengthMin,PacketLengthMax,FINFlagCount,SYNFlagCount,RSTFlagCount,PSHFlagCount,ACKFlagCount,AveragePacketSize,FwdSegmentSizeAvg,BwdSegmentSizeAvg,BwdPacketBulkAvg,BwdBulkRateAvg,FWDInitWinBytes,BwdInitWinBytes,FwdActDataPkts,FwdSegSizeMin
Non-Tor,AUDIO-STREAMING,10.152.152.11,41995,74.125.136.132,443,6,101242010,18,18,1490,3970,485,0,1213,0,5393018175,355583616,45120787,17,101241749,45121069,638,101241815,45121048,598,1,360,360,177791808,177791808,0,1213,0,0,0,16,36,1540277778,8277777778,2205555556,5,3867,1892,1248,9,20
Non-Tor,AUDIO-STREAMING,10.152.152.11,57157,216.58.220.99,443,6,104050917,27,32,5119,1751,693,0,207,0,6602536718,567030082,45045224,14,104050582,45045533,320,104050660,45045559,217,1,540,640,259488343,307541739,0,693,0,0,0,31,59,1281864407,1895925926,5471875,7,1306,2640,2598,18,20
Non-Tor,AUDIO-STREAMING,10.152.152.11,45258,173.194.65.149,443,6,90586766,6,7,383,324,245,0,255,0,7804672042,143508821,45055570,165,90586197,45056003,726,90586276,45057901,401,1,120,140,66234841,77273981,0,255,0,0,0,5,13,7323076923,6383333333,4628571429,5,1495,2257,1204,2,20
Non-Tor,AUDIO-STREAMING,10.152.152.11,49880,74.125.22.189,443,17,4000091,6,0,6793,0,1350,43,0,0,1698211366,1499965876,1746134,150971,4000091,1746134,150971,0,0,0,0,48,0,1499965876,0,43,1350,0,0,0,0,0,1357166667,1132166667,0,4,5127,0,0,5,8
Non-Tor,AUDIO-STREAMING,74.125.228.199,443,10.152.152.11,60669,6,16,1,1,0,0,0,0,0,0,0,125000,16,16,0,0,0,0,0,0,0,20,20,62500,62500,0,0,1,0,0,0,2,0,0,0,0,0,1329,2640,0,20
Non-Tor,AUDIO-STREAMING,10.152.152.11,30221,10.152.152.10,53,17,303888,1,1,33,49,33,33,49,49,2698362555,6581372085,303888,303888,0,0,0,0,0,0,0,8,8,3290686042,3290686042,33,49,0,0,0,0,0,575,33,49,0,0,0,0,0,8
Non-Tor,AUDIO-STREAMING,173.194.65.100,443,10.152.152.11,36564,6,32,1,1,0,0,0,0,0,0,0,62500,32,32,0,0,0,0,0,0,0,20,20,31250,31250,0,0,1,0,0,0,2,0,0,0,0,0,1594,1181,0,20
Non-Tor,AUDIO-STREAMING,10.152.152.11,49583,10.152.152.10,53,17,283243,1,1,37,53,37,37,53,53,3177483645,7061074766,283243,283243,0,0,0,0,0,0,0,8,8,3530537383,3530537383,37,53,0,0,0,0,0,635,37,53,0,0,0,0,0,8
Non-Tor,AUDIO-STREAMING,10.152.152.10,9052,10.152.152.11,57177,6,14,1,1,0,0,0,0,0,0,0,1428571429,14,14,0,0,0,0,0,0,0,20,20,7142857143,7142857143,0,0,1,0,0,0,2,0,0,0,0,0,913,913,0,20
Non-Tor,AUDIO-STREAMING,10.152.152.11,54705,10.152.152.10,53,17,10709705,2,2,66,98,33,33,49,49,1531321358,373493014,5422774,282003,5004928,5004928,5004928,5422774,5422774,5422774,0,16,16,186746507,186746507,33,49,0,0,0,0,0,4925,33,49,0,0,0,0,1,8
Non-Tor,AUDIO-STREAMING,10.152.152.11,43259,74.125.22.93,443,17,4000117,6,0,6793,0,1350,43,0,0,1698200328,1499956126,1746882,150640,4000117,1746882,150640,0,0,0,0,48,0,1499956126,0,43,1350,0,0,0,0,0,1357166667,1132166667,0,4,5133,0,0,5,8
Non-Tor,AUDIO-STREAMING,10.152.152.11,33172,10.152.152.10,53,17,331910,1,1,33,49,33,33,49,49,2470549245,6025729867,331910,331910,0,0,0,0,0,0,0,8,8,3012864933,3012864933,33,49,0,0,0,0,0,575,33,49,0,0,0,0,0,8
Non-Tor,AUDIO-STREAMING,173.194.33.97,443,10.152.152.11,56254,6,28,1,1,0,0,0,0,0,0,0,7142857143,28,28,0,0,0,0,0,0,0,20,20,3571428571,3571428571,0,0,1,0,0,0,2,0,0,0,0,0,21627,9520,0,20
Non-Tor,AUDIO-STREAMING,10.152.152.11,5582,10.152.152.10,53,17,467040,1,1,37,53,37,37,53,53,1927029805,4282288455,467040,467040,0,0,0,0,0,0,0,8,8,2141144228,2141144228,37,53,0,0,0,0,0,635,37,53,0,0,0,0,0,8
Non-Tor,AUDIO-STREAMING,10.152.152.11,16364,10.152.152.10,53,17,262161,1,1,37,53,37,37,53,53,3433004909,7628899798,262161,262161,0,0,0,0,0,0,0,8,8,3814449899,3814449899,37,53,0,0,0,0,0,635,37,53,0,0,0,0,0,8
Non-Tor,AUDIO-STREAMING,10.152.152.11,34136,10.152.152.10,53,17,338305,1,1,33,49,33,33,49,49,2423848303,5911825128,338305,338305,0,0,0,0,0,0,0,8,8,2955912564,2955912564,33,49,0,0,0,0,0,575,33,49,0,0,0,0,0,8
Non-Tor,AUDIO-STREAMING,10.152.152.11,36059,10.152.152.10,53,17,332462,1,1,37,53,37,37,53,53,2707076297,6015725105,332462,332462,0,0,0,0,0,0,0,8,8,3007862553,3007862553,37,53,0,0,0,0,0,635,37,53,0,0,0,0,0,8
Non-Tor,AUDIO-STREAMING,10.152.152.11,45235,173.194.112.169,443,6,255,1,1,0,0,0,0,0,0,0,7843137255,255,255,0,0,0,0,0,0,0,20,20,3921568627,3921568627,0,0,1,0,0,0,2,0,0,0,0,0,2373,1398,0,20
Non-Tor,AUDIO-STREAMING,216.58.217.142,443,10.152.152.11,50012,6,26,1,1,0,0,0,0,0,0,0,7692307692,26,26,0,0,0,0,0,0,0,20,20,3846153846,3846153846,0,0,1,0,0,0,2,0,0,0,0,0,2140,2640,0,20
Non-Tor,AUDIO-STREAMING,74.125.228.213,443,10.152.152.11,59151,6,34,1,1,0,0,0,0,0,0,0,5882352941,34,34,0,0,0,0,0,0,0,20,20,2941176471,2941176471,0,0,1,0,0,0,2,0,0,0,0,0,2142,2640,0,20
Non-Tor,AUDIO-STREAMING,10.152.152.11,52684,10.152.152.10,53,17,389055,1,1,37,53,37,37,53,53,2313297606,5140661346,389055,389055,0,0,0,0,0,0,0,8,8,2570330673,2570330673,37,53,0,0,0,0,0,635,37,53,0,0,0,0,0,8
Non-Tor,AUDIO-STREAMING,216.58.216.142,443,10.152.152.11,57361,6,47,1,1,0,0,0,0,0,0,0,4255319149,47,47,0,0,0,0,0,0,0,20,20,2127659574,2127659574,0,0,1,0,0,0,2,0,0,0,0,0,8323,21142,0,20
Non-Tor,AUDIO-STREAMING,10.152.152.11,3516,10.152.152.10,53,17,280864,1,1,33,49,33,33,49,49,2919562493,7120884129,280864,280864,0,0,0,0,0,0,0,8,8,3560442065,3560442065,33,49,0,0,0,0,0,575,33,49,0,0,0,0,0,8
Non-Tor,Browsing,10.152.152.11,63842,10.152.152.10,53,17,1047687,1,1,38,54,38,38,54,54,8781248598,1908967087,1047687,1047687,0,0,0,0,0,0,0,8,8,954483543,954483543,38,54,0,0,0,0,0,65,38,54,0,0,0,0,0,8
Non-Tor,Browsing,10.152.152.11,39256,54.225.255.135,80,6,269,1,1,0,0,0,0,0,0,0,7434944238,269,269,0,0,0,0,0,0,0,20,20,3717472119,3717472119,0,0,1,0,0,0,2,0,0,0,0,0,980,984,0,20
Non-Tor,Browsing,10.152.152.11,52248,52.0.121.249,80,6,228,1,1,0,0,0,0,0,0,0,8771929825,228,228,0,0,0,0,0,0,0,20,20,4385964912,4385964912,0,0,1,0,0,0,2,0,0,0,0,0,980,1095,0,20
Non-Tor,Browsing,10.152.152.11,32682,10.152.152.10,53,17,505155,1,1,41,57,41,41,57,57,1939998614,3959180846,505155,505155,0,0,0,0,0,0,0,8,8,1979590423,1979590423,41,57,0,0,0,0,0,695,41,57,0,0,0,0,0,8
Non-Tor,Browsing,54.246.180.54,80,10.152.152.11,51196,6,31,1,1,0,0,0,0,0,0,0,6451612903,31,31,0,0,0,0,0,0,0,20,20,3225806452,3225806452,0,0,1,0,0,0,2,0,0,0,0,0,913,913,0,20
Non-Tor,Browsing,10.152.152.11,46128,54.165.68.223,80,6,438,1,1,0,0,0,0,0,0,0,4566210046,438,438,0,0,0,0,0,0,0,20,20,2283105023,2283105023,0,0,1,0,0,0,2,0,0,0,0,0,980,1238,0,20
Non-Tor,Browsing,216.58.210.46,443,10.152.152.11,41579,6,36,1,1,0,0,0,0,0,0,0,5555555556,36,36,0,0,0,0,0,0,0,20,20,2777777778,2777777778,0,0,1,0,0,0,2,0,0,0,0,0,1126,2373,0,20
Non-Tor,Browsing,10.152.152.11,60421,173.252.120.2,443,6,461,1,1,0,0,0,0,0,0,0,4338394794,461,461,0,0,0,0,0,0,0,20,20,2169197397,2169197397,0,0,1,0,0,0,2,0,0,0,0,0,2008,2142,0,20
Non-Tor,Browsing,10.152.152.11,32961,10.152.152.10,53,17,828365,1,1,33,49,33,33,49,49,9899017945,2414394621,828365,828365,0,0,0,0,0,0,0,8,8,120719731,120719731,33,49,0,0,0,0,0,575,33,49,0,0,0,0,0,8
Non-Tor,Browsing,10.152.152.11,43634,80.239.137.25,80,6,45056335,2,2,0,0,0,0,0,0,0,88777749,45055790,227,45056017,45056017,45056017,45056108,45056108,45056108,0,40,40,44388875,44388875,0,0,0,0,0,0,4,0,0,0,0,0,16378,2640,0,20
Non-Tor,Browsing,216.58.210.229,443,10.152.152.11,58474,6,60,1,1,0,0,0,0,0,0,0,3333333333,60,60,0,0,0,0,0,0,0,20,20,1666666667,1666666667,0,0,1,0,0,0,2,0,0,0,0,0,1047,1825,0,20
Non-Tor,File-Transfer,10.152.152.11,44110,75.101.155.12,1650,6,2882827,5,5,0,3160,0,0,1460,0,1096146248,3468817241,2819445,13,2820069,2819535,33,2882455,2819526,36,0,112,112,173440862,173440862,0,1460,1,2,0,1,9,316,0,632,0,0,14600,913,0,20
Non-Tor,File-Transfer,10.152.152.11,34561,75.101.155.12,21,6,117541586,265,312,1604,9020,48,0,54,0,903850319,4908900923,3281130,12,117541586,3281148,535,117500801,3318517,822,1,5300,6240,2254521221,2654379702,0,54,0,0,0,313,577,1849566724,6052830189,2891025641,10,175,913,913,125,20
Non-Tor,File-Transfer,10.152.152.11,36682,75.101.155.12,1653,6,1567300,5,5,0,3160,0,0,1460,0,2016206215,6380399413,1514805,14,1515623,1514903,45,1566789,1514888,50,0,112,112,3190199707,3190199707,0,1460,1,2,0,1,9,316,0,632,0,0,14600,913,0,20
Non-Tor,File-Transfer,10.152.152.11,35798,75.101.155.12,1428,6,1429942,5,5,0,3160,0,0,1460,0,2209879841,6993290637,1369305,16,1369983,1369405,49,1429633,1369387,132,0,112,112,3496645319,3496645319,0,1460,1,2,0,1,9,316,0,632,0,0,14600,913,0,20
Non-Tor,File-Transfer,10.152.152.11,47398,75.101.155.12,1733,6,1935590,5,5,0,3160,0,0,1460,0,1632577147,5166383377,1892663,14,1893262,1892761,38,1935271,1892756,41,0,112,112,2583191688,2583191688,0,1460,1,2,0,1,9,316,0,632,0,0,14600,913,0,20
Non-Tor,File-Transfer,10.152.152.11,39154,75.101.155.12,1987,6,2292377,5,5,0,3160,0,0,1460,0,1378481812,4362284214,2158318,17,2292347,2158414,111,2291932,2158396,47,0,112,112,2181142107,2181142107,0,1460,1,2,0,2,9,316,0,632,0,0,14600,913,0,20
Non-Tor,File-Transfer,10.152.152.11,43920,75.101.155.12,1549,6,3340575,5,5,0,3160,0,0,1460,0,9459449346,2993496629,3276494,14,3277096,3276584,42,3340235,3276574,43,0,112,112,1496748314,1496748314,0,1460,1,2,0,1,9,316,0,632,0,0,14600,913,0,20
Non-Tor,File-Transfer,10.152.152.11,35907,75.101.155.12,1509,6,3124830,5,5,0,3160,0,0,1460,0,1011255012,320017409,3084162,16,3084668,3084263,44,3124549,3084192,39,0,112,112,1600087045,1600087045,0,1460,1,2,0,1,9,316,0,632,0,0,14600,913,0,20
Non-Tor,File-Transfer,10.152.152.11,60384,75.101.155.12,1869,6,1883509,5,5,0,3160,0,0,1460,0,1677719618,5309239298,1820971,16,1821882,1821010,70,1883137,1821050,92,0,112,112,2654619649,2654619649,0,1460,1,2,0,1,9,316,0,632,0,0,14600,913,0,20
Non-Tor,File-Transfer,10.152.152.11,40155,75.101.155.12,1646,6,1883725,5,5,0,3160,0,0,1460,0,167752724,5308630506,1819232,16,1820035,1819347,43,1883253,1819355,44,0,112,112,2654315253,2654315253,0,1460,1,2,0,1,9,316,0,632,0,0,14600,913,0,20
Non-Tor,File-Transfer,10.152.152.11,40057,75.101.155.12,1989,6,2930434,5,5,0,3160,0,0,1460,0,1078338567,3412463819,2798188,13,2799052,2798280,34,2930063,2798509,36,0,112,112,170623191,170623191,0,1460,1,2,0,1,9,316,0,632,0,0,14600,913,0,20
Non-Tor,P2P,10.152.152.11,47449,179.210.183.101,47188,6,273222,2,0,0,0,0,0,0,0,0,7320054754,273222,273222,273222,273222,273222,0,0,0,0,40,0,7320054754,0,0,0,1,0,0,0,2,0,0,0,0,0,1047,0,0,20
Non-Tor,P2P,10.152.152.11,39631,46.99.178.130,60574,6,3311019,21,21,2519,644,1410,0,395,0,9552950315,1268491664,1155478,5,3189017,1155657,21,3310706,1155478,5,0,432,432,6342458319,6342458319,0,1410,1,2,0,19,41,7530952381,119952381,3066666667,9,3443,14600,1162,14,20
Non-Tor,P2P,151.56.104.131,50486,10.152.152.11,52013,6,51,1,1,0,0,0,0,0,0,0,3921568627,51,51,0,0,0,0,0,0,0,20,20,1960784314,1960784314,0,0,1,0,0,0,2,0,0,0,0,0,913,913,0,20
Non-Tor,P2P,10.152.152.11,9100,77.31.231.143,1024,17,9670856,3,0,60,0,20,20,0,0,6204207776,310210389,6371164,3299692,9670856,6371164,3299692,0,0,0,0,24,0,310210389,0,20,20,0,0,0,0,0,2666666667,20,0,0,0,0,0,2,8
Non-Tor,P2P,10.152.152.11,9100,181.26.135.196,56576,17,9872437,3,0,60,0,20,20,0,0,6077526755,303876338,6380058,3492379,9872437,6380058,3492379,0,0,0,0,24,0,303876338,0,20,20,0,0,0,0,0,2666666667,20,0,0,0,0,0,2,8
Non-Tor,P2P,10.152.152.11,9100,24.20.109.201,6881,17,9647764,3,0,60,0,20,20,0,0,6219057597,31095288,6261811,3385953,9647764,6261811,3385953,0,0,0,0,24,0,31095288,0,20,20,0,0,0,0,0,2666666667,20,0,0,0,0,0,2,8
Non-Tor,P2P,10.152.152.11,9100,185.21.216.191,52429,17,9763105,3,0,60,0,20,20,0,0,6145585856,307279293,6276495,3486610,9763105,6276495,3486610,0,0,0,0,24,0,307279293,0,20,20,0,0,0,0,0,2666666667,20,0,0,0,0,0,2,8
Non-Tor,P2P,10.152.152.11,9100,94.19.244.178,30000,17,9513576,3,0,60,0,20,20,0,0,6306776758,315338838,6298027,3215549,9513576,6298027,3215549,0,0,0,0,24,0,315338838,0,20,20,0,0,0,0,0,2666666667,20,0,0,0,0,0,2,8
Non-Tor,P2P,10.152.152.11,9100,197.231.221.211,9100,17,69464413,6,0,120,0,20,20,0,0,1727503261,86375163,50740551,3124497,69464413,50740551,3124497,0,0,0,0,48,0,86375163,0,20,20,0,0,0,0,0,2333333333,20,0,0,0,0,0,5,8
Non-Tor,P2P,10.152.152.11,9100,41.130.5.10,24287,17,9815154,3,0,60,0,20,20,0,0,6112996291,305649815,6290439,3524715,9815154,6290439,3524715,0,0,0,0,24,0,305649815,0,20,20,0,0,0,0,0,2666666667,20,0,0,0,0,0,2,8
Non-Tor,P2P,10.152.152.11,9100,179.177.49.138,64115,17,9503546,3,0,60,0,20,20,0,0,6313432902,315671645,6407118,3096428,9503546,6407118,3096428,0,0,0,0,24,0,315671645,0,20,20,0,0,0,0,0,2666666667,20,0,0,0,0,0,2,8
Non-Tor,P2P,10.152.152.11,9100,185.31.158.191,62154,17,9578788,3,0,60,0,20,20,0,0,6263840478,313192024,6368938,3209850,9578788,6368938,3209850,0,0,0,0,24,0,313192024,0,20,20,0,0,0,0,0,2666666667,20,0,0,0,0,0,2,8
Non-Tor,P2P,10.152.152.11,38128,173.33.38.203,24007,6,595,1,1,0,0,0,0,0,0,0,3361344538,595,595,0,0,0,0,0,0,0,20,20,1680672269,1680672269,0,0,1,0,0,0,2,0,0,0,0,0,1032,1514,0,20
Non-Tor,P2P,10.152.152.11,9100,200.29.183.130,43955,17,9457355,3,0,60,0,20,20,0,0,6344268561,317213428,6244310,3213045,9457355,6244310,3213045,0,0,0,0,24,0,317213428,0,20,20,0,0,0,0,0,2666666667,20,0,0,0,0,0,2,8
Non-Tor,P2P,74.101.162.162,51413,10.152.152.11,43010,6,31,1,1,0,0,0,0,0,0,0,6451612903,31,31,0,0,0,0,0,0,0,20,20,3225806452,3225806452,0,0,1,0,0,0,2,0,0,0,0,0,980,913,0,20
Non-Tor,Video-Streaming,10.152.152.11,39629,74.125.136.188,5228,6,82679315,4,3,53,53,53,0,53,0,1282061904,84664465,45076623,68,82679315,45076623,304166,45381121,45077964,303157,1,80,60,48379695,36284771,0,53,1,0,0,2,7,2271428571,1325,1766666667,0,0,2075,1248,0,20
Non-Tor,Video-Streaming,10.152.152.11,8367,10.152.152.10,53,17,274300,1,1,44,60,44,44,60,60,3791469194,7291286912,274300,274300,0,0,0,0,0,0,0,8,8,3645643456,3645643456,44,60,0,0,0,0,0,74,44,60,0,0,0,0,0,8
Non-Tor,Video-Streaming,10.152.152.11,45040,173.194.67.156,443,6,24978076,2,1,0,0,0,0,0,0,0,120105328,24978076,0,24978076,24978076,24978076,0,0,0,0,40,20,80070218,40035109,0,0,1,0,0,0,3,0,0,0,0,0,2640,2640,0,20
Non-Tor,Video-Streaming,10.152.152.11,50152,10.152.152.10,53,17,357023,1,1,29,45,29,29,45,45,2072695597,5601879991,357023,357023,0,0,0,0,0,0,0,8,8,2800939996,2800939996,29,45,0,0,0,0,0,515,29,45,0,0,0,0,0,8
Non-Tor,Video-Streaming,10.152.152.11,37997,10.152.152.10,53,17,225496,1,1,32,48,32,32,48,48,3547734771,8869336928,225496,225496,0,0,0,0,0,0,0,8,8,4434668464,4434668464,32,48,0,0,0,0,0,56,32,48,0,0,0,0,0,8
Non-Tor,Video-Streaming,10.152.152.11,40778,216.58.208.238,443,6,9842202,18,18,6120,5186,1460,0,1460,0,1148726677,3657718059,8653810,4,9842202,8654684,19,1188333,548669,4,1,360,360,182885903,182885903,0,1460,1,0,0,14,36,3226388889,340,2881111111,18,9520,2640,2640,9,20
Non-Tor,AUDIO-STREAMING,10.152.152.11,34854,74.125.142.127,19305,6,119971368,4339,3521,508293,575052,184,0,1460,0,9030029565,6551563203,101474,0,119971368,120826,8,119939091,127856,0,1,86780,70420,3616696277,2934866926,0,1460,0,0,0,5702,7860,1378479644,1171451947,1633206475,5705,9030,2640,3695,4062,20
Non-Tor,AUDIO-STREAMING,10.152.152.11,52122,173.194.112.72,443,6,95384814,15,16,1647,5437,1029,0,1460,0,7426758729,324999323,45070675,2,95383926,45071121,9,95384564,45071563,11,0,312,332,157257737,167741586,0,1460,0,2,0,11,30,228516129,1098,3398125,5,54533,14600,1176,7,20
Non-Tor,AUDIO-STREAMING,10.152.152.11,41507,173.194.112.36,443,6,111069223,264,288,139492,14244,1460,0,485,0,1384145813,4969873608,11962814,0,111067791,11962816,1,111069213,11964263,0,0,5280,5760,2376896073,2592977534,0,1460,0,0,0,245,552,2811521739,5283787879,4945833333,20,3691,12502,8686,174,20
Non-Tor,AUDIO-STREAMING,10.152.152.11,42631,216.58.210.14,443,6,90112222,3,3,0,0,0,0,0,0,0,66583643,45055744,197,90112025,45056013,45056012,90111953,45056075,45055878,0,60,60,33291821,33291821,0,0,0,0,0,0,6,0,0,0,0,0,2373,1370,0,20
Non-Tor,AUDIO-STREAMING,10.152.152.11,42631,216.58.210.14,443,6,14501121,1,3,0,154,0,0,154,0,1061986863,275840744,14500872,8,0,0,0,14500880,14500872,8,0,20,60,68960186,206880558,0,154,1,0,0,1,4,385,0,5133333333,0,0,2373,1370,0,20
NonVPN,Chat,131.202.240.242,57521,224.0.0.252,5355,17,420797,2,0,44,0,22,22,0,0,1045634831,4752885596,420797,420797,420797,420797,420797,0,0,0,0,16,0,4752885596,0,22,22,0,0,0,0,0,33,22,0,0,0,0,0,1,8
NonVPN,Chat,131.202.240.242,65514,224.0.0.252,5355,17,420708,2,0,44,0,22,22,0,0,1045856033,475389106,420708,420708,420708,420708,420708,0,0,0,0,16,0,475389106,0,22,22,0,0,0,0,0,33,22,0,0,0,0,0,1,8
NonVPN,Chat,131.202.240.242,56025,224.0.0.252,5355,17,420605,2,0,44,0,22,22,0,0,1046112148,4755055218,420605,420605,420605,420605,420605,0,0,0,0,16,0,4755055218,0,22,22,0,0,0,0,0,33,22,0,0,0,0,0,1,8
NonVPN,Chat,131.202.240.242,62462,224.0.0.252,5355,17,409508,2,0,44,0,22,22,0,0,1074460084,4883909472,409508,409508,409508,409508,409508,0,0,0,0,16,0,4883909472,0,22,22,0,0,0,0,0,33,22,0,0,0,0,0,1,8
NonVPN,Chat,131.202.240.242,55817,224.0.0.252,5355,17,420631,2,0,44,0,22,22,0,0,1046047486,4754761299,420631,420631,420631,420631,420631,0,0,0,0,16,0,4754761299,0,22,22,0,0,0,0,0,33,22,0,0,0,0,0,1,8
NonVPN,Chat,131.202.240.242,49356,224.0.0.252,5355,17,421971,2,0,44,0,22,22,0,0,1042725685,4739662204,421971,421971,421971,421971,421971,0,0,0,0,16,0,4739662204,0,22,22,0,0,0,0,0,33,22,0,0,0,0,0,1,8
NonVPN,Chat,131.202.240.242,60228,224.0.0.252,5355,17,421613,2,0,44,0,22,22,0,0,1043611084,4743686746,421613,421613,421613,421613,421613,0,0,0,0,16,0,4743686746,0,22,22,0,0,0,0,0,33,22,0,0,0,0,0,1,8
NonVPN,Chat,131.202.240.242,63109,224.0.0.252,5355,17,423454,2,0,44,0,22,22,0,0,1039073902,472306319,423454,423454,423454,423454,423454,0,0,0,0,16,0,472306319,0,22,22,0,0,0,0,0,33,22,0,0,0,0,0,1,8
NonVPN,Chat,131.202.240.242,53138,224.0.0.252,5355,17,420351,2,0,44,0,22,22,0,0,1046744268,4757928493,420351,420351,420351,420351,420351,0,0,0,0,16,0,4757928493,0,22,22,0,0,0,0,0,33,22,0,0,0,0,0,1,8
NonVPN,Audio-Streaming,131.202.240.150,40594,194.68.29.19,4070,6,106285154,19,15,2218,32609,1064,0,10704,0,3276751144,319894159,59906794,5,106285154,60051576,10,61831971,60010843,41,1,608,480,178764383,141129776,0,10704,0,0,0,15,34,1024647059,1167368421,2173933333,17,19153,1452,1452,8,32
NonVPN,Audio-Streaming,131.202.240.150,43124,93.184.215.151,80,6,90152395,3,3,0,0,0,0,0,0,0,66553972,45015665,40377,90111995,45056042,45055953,90111953,45056065,45055888,0,60,60,33276986,33276986,0,0,0,0,0,0,6,0,0,0,0,0,1452,18944,0,20
NonVPN,Audio-Streaming,131.202.240.150,43123,93.184.215.151,80,6,90152544,3,3,0,0,0,0,0,0,0,66553862,45015676,40360,90112006,45056036,45055970,90112113,45056214,45055899,0,60,60,33276931,33276931,0,0,0,0,0,0,6,0,0,0,0,0,1185,16896,0,20
